[0.20466524 0.06867824 0.7266565 ],[0.02071625 0.01664872 0.0006522 ],[0.05859441 0.04708969 0.0018447 ]
[0.02942616 0.02978831 0.9407856 ],[6.35694103e-02 3.63825317e-07 6.31770309e-07],[1.79801444e-01 1.02905340e-06 1.78691628e-06]
[0.0180252  0.01085424 0.97112054],[5.86042145e-02 1.44926015e-07 1.08924800e-07],[1.65757750e-01 4.09912673e-07 3.08085858e-07]
[0.03149088 0.13636221 0.8321469 ],[5.70488169e-02 2.77434418e-06 2.10311457e-05],[1.61358421e-01 7.84703034e-06 5.94850631e-05]
[0.01403339 0.03412402 0.9518425 ],[6.23710508e-02 2.56800320e-07 3.89773842e-07],[1.76411972e-01 7.26340990e-07 1.10244691e-06]
[0.20079932 0.0069311  0.7922696 ],[3.00819456e-02 1.01187227e-03 2.58702299e-05],[8.50845910e-02 2.86200699e-03 7.31720600e-05]
[0.02690645 0.08195341 0.89114004],[7.53650184e-02 2.35829326e-05 6.75877342e-05],[2.13164462e-01 6.67026061e-05 1.91166981e-04]
[0.093145   0.02441216 0.8824428 ],[6.44747740e-02 1.67016798e-06 7.05308067e-07],[1.82362200e-01 4.72394841e-06 1.99491247e-06]
[0.13996616 0.00644346 0.85359037],[6.00002287e-02 9.08903423e-07 3.43695570e-07],[1.69706274e-01 2.57076710e-06 9.72117872e-07]
[0.02049371 0.11924354 0.8602627 ],[6.29192045e-02 1.97320648e-06 8.31842032e-06],[1.77962385e-01 5.58107074e-06 2.35280457e-05]
[0.01561673 0.28396177 0.7004215 ],[2.35110498e-02 8.48151937e-05 3.69928629e-03],[0.06649929 0.00023989 0.01046316]
[0.00430425 0.01545837 0.9802373 ],[5.89472917e-02 5.33550167e-07 2.09028125e-06],[1.66728119e-01 1.50910777e-06 5.91220820e-06]
[0.01047584 0.00680995 0.9827141 ],[5.99721179e-02 1.26794535e-07 1.16243442e-07],[1.69626765e-01 3.58629102e-07 3.28786104e-07]
[0.04930133 0.1577857  0.792913  ],[0.05542097 0.0001846  0.00137581],[0.15675417 0.00052212 0.00389137]
[0.03492009 0.5714699  0.39361003],[4.81151047e-06 4.63691454e-02 8.24806220e-05],[1.36090067e-05 1.31151749e-01 2.33290429e-04]
[0.029476   0.04103058 0.92949337],[6.42337534e-02 7.43864190e-07 1.87401929e-06],[1.81680491e-01 2.10396565e-06 5.30052700e-06]
[0.3182588  0.05016936 0.6315718 ],[0.00448784 0.06791771 0.00119065],[0.01269352 0.1921003  0.00336768]
[0.04166322 0.16946366 0.78887314],[6.60646637e-02 1.18418051e-05 5.60042049e-05],[1.86859087e-01 3.34936827e-05 1.58403812e-04]
[0.03363532 0.01809892 0.94826573],[6.45743081e-02 3.89346192e-07 3.06442562e-07],[1.82643725e-01 1.10123733e-06 8.66750453e-07]
[0.29544455 0.03919826 0.6653572 ],[0.0045172  0.06720964 0.00117513],[0.01277658 0.19009758 0.00332377]
[0.08098736 0.02899341 0.8900192 ],[5.36478573e-02 6.55797551e-05 6.22981076e-06],[1.51739055e-01 1.85487558e-04 1.76205657e-05]
[0.00757134 0.38533032 0.60709834],[0.00373721 0.00093481 0.06704984],[0.01057043 0.00264404 0.18964559]
[0.00537465 0.01069573 0.98392963],[5.99981144e-02 1.20536555e-07 1.37919668e-07],[1.69700294e-01 3.40928863e-07 3.90095730e-07]
[0.06571013 0.12935327 0.8049366 ],[5.76924924e-02 2.21994953e-04 2.76493274e-05],[1.63179010e-01 6.27896547e-04 7.82041075e-05]
[0.0012466 0.0027436 0.9960098],[5.81645583e-02 7.61635806e-08 7.81859040e-08],[1.64514214e-01 2.15423137e-07 2.21143132e-07]
[0.0037789  0.57853425 0.41768688],[0.00018814 0.00819678 0.01960226],[0.00053213 0.02318399 0.05544355]
[0.4918739  0.01119003 0.49693608],[0.00467913 0.04673215 0.00051152],[0.01323457 0.13217848 0.00144679]
[0.05195077 0.03642799 0.91162133],[6.77095743e-02 5.93280426e-07 4.95425153e-07],[1.91511597e-01 1.67805045e-06 1.40127394e-06]
[0.01039136 0.22535005 0.7642586 ],[0.00904864 0.00026644 0.0216392 ],[0.02559342 0.00075361 0.06120489]
[0.02395758 0.05493013 0.92111224],[6.05991050e-02 9.33818316e-07 3.90517363e-06],[1.71400152e-01 2.64123706e-06 1.10454990e-05]
[0.03603446 0.09450863 0.8694569 ],[6.83574889e-02 2.98864998e-06 8.90301453e-06],[1.93344176e-01 8.45317866e-06 2.51815278e-05]
[0.03025268 0.03189777 0.9378495 ],[7.34595966e-02 1.34394888e-06 1.57852029e-06],[2.07775116e-01 3.80126147e-06 4.46472962e-06]
[0.42258155 0.01355288 0.5638655 ],[0.00444656 0.05237029 0.00062812],[0.01257677 0.14812555 0.0017766 ]
[0.05888779 0.03773803 0.9033742 ],[6.73627975e-02 1.62616595e-06 8.67408412e-07],[1.90530764e-01 4.59949189e-06 2.45340148e-06]
[0.00624078 0.8761027  0.11765655],[2.48318014e-07 6.05687135e-02 5.01952244e-07],[7.02349406e-07 1.71314192e-01 1.41973534e-06]
[0.05463197 0.20130579 0.7440623 ],[2.28407288e-02 7.90640114e-05 3.67344431e-03],[0.06460334 0.00022363 0.01039007]
[0.03448939 0.0352559  0.9302548 ],[6.73185706e-02 1.17220728e-06 7.08696348e-07],[1.90405671e-01 3.31550288e-06 2.00449597e-06]
[0.11508627 0.04764975 0.83726394],[8.70646497e-02 6.88409899e-05 1.12806240e-04],[2.46256017e-01 1.94711723e-04 3.19064228e-04]
[0.01908939 0.12075715 0.8601535 ],[0.01600052 0.00012939 0.00806355],[0.04525629 0.00036597 0.02280717]
[0.05464511 0.02868359 0.91667134],[6.86880951e-02 1.06982244e-06 1.98599456e-06],[1.94279271e-01 3.02591480e-06 5.61724089e-06]
[0.06990546 0.06592203 0.8641725 ],[7.70554253e-02 3.08903719e-06 2.58153017e-06],[2.17945655e-01 8.73711659e-06 7.30166995e-06]
[0.4173392  0.00399834 0.57866246],[0.00135495 0.10299456 0.00170325],[0.00383238 0.29131259 0.00481753]
[0.0359039  0.01746565 0.9466304 ],[6.61272857e-02 3.21995028e-07 3.44592830e-07],[1.87036208e-01 9.10739472e-07 9.74655707e-07]
[0.00195542 0.99108887 0.00695575],[8.84867281e-08 5.89603422e-02 8.70870480e-08],[2.50278262e-07 1.66765031e-01 2.46319369e-07]
[0.07767623 0.03230774 0.8900161 ],[6.44633332e-02 3.71455817e-06 1.21347811e-06],[1.82329840e-01 1.05063571e-05 3.43223441e-06]
[0.8976416  0.00775494 0.09460351],[2.00298276e-06 1.49883284e-05 5.62738204e-02],[5.66529076e-06 4.23933947e-05 1.59166400e-01]
[0.92066693 0.00681799 0.07251509],[1.88563850e-07 3.25516666e-07 5.98494695e-02],[5.33339108e-07 9.20700166e-07 1.69279863e-01]
[0.4808371  0.00441445 0.51474845],[0.00130373 0.10106464 0.00173273],[0.00368751 0.28585397 0.0049009 ]
[0.51286995 0.0063623  0.48076773],[0.0014196  0.10340067 0.00174859],[0.00401524 0.29246125 0.00494577]
[0.03475688 0.02885795 0.9363851 ],[5.56436650e-02 1.85466912e-06 1.45352304e-05],[1.57384051e-01 5.24579644e-06 4.11118400e-05]
[0.10643587 0.04195739 0.8516068 ],[8.68621290e-02 1.83231125e-05 2.13341073e-05],[2.45683202e-01 5.18255885e-05 6.03419677e-05]
[0.03304284 0.01816483 0.94879234],[6.71393628e-02 4.06914630e-07 3.83510332e-07],[1.89898795e-01 1.15092838e-06 1.08473102e-06]
[0.01826817 0.18246102 0.7992708 ],[0.00278107 0.00103626 0.07937068],[0.00786606 0.00293099 0.22449419]
[0.0123133 0.0152749 0.9724119],[6.19307713e-02 2.66462798e-07 4.58126335e-07],[1.75166673e-01 7.53670605e-07 1.29577695e-06]
[0.21367086 0.08025753 0.7060716 ],[0.04479396 0.00701804 0.00081027],[0.12669646 0.01985001 0.0022918 ]
[0.6927944  0.01102727 0.2961784 ],[0.001124   0.07731927 0.00317262],[0.00317916 0.21869193 0.00897353]
[0.00948056 0.01066145 0.97985804],[6.05475656e-02 1.68494791e-07 1.37968803e-07],[1.71254377e-01 4.76575238e-07 3.90234704e-07]
[0.02876635 0.16734989 0.80388373],[2.74218445e-02 3.39487385e-05 1.50739554e-03],[7.75606888e-02 9.60215329e-05 4.26355842e-03]
[0.0907557  0.05742094 0.85182345],[6.22942957e-02 4.01652579e-06 1.08436330e-06],[1.76194876e-01 1.13604505e-05 3.06704258e-06]
[0.04873406 0.02054053 0.93072546],[6.71285575e-02 4.49581315e-07 5.30257125e-07],[1.89868233e-01 1.27160799e-06 1.49979364e-06]
[0.00624607 0.03278759 0.96096635],[6.38871503e-02 2.47326729e-07 2.99014481e-07],[1.80700149e-01 6.99545629e-07 8.45740670e-07]
[0.00842833 0.0113837  0.9801879 ],[6.00374601e-02 1.13962848e-07 1.20996029e-07],[1.69811581e-01 3.22335611e-07 3.42228449e-07]
[0.01392815 0.5135906  0.47248128],[0.00905497 0.00039003 0.02624498],[0.02561133 0.00110318 0.07423201]
[0.07277878 0.14630006 0.78092116],[0.04060937 0.00010596 0.00171956],[0.11486063 0.00029969 0.00486364]
[0.03346368 0.00500255 0.9615338 ],[6.00872080e-02 3.34081120e-07 1.94900982e-07],[1.69952289e-01 9.44924101e-07 5.51263225e-07]
[0.03512069 0.01539084 0.94948846],[6.82828949e-02 8.17524369e-07 6.11388860e-07],[1.93133192e-01 2.31230810e-06 1.72926884e-06]
[0.00949177 0.02976454 0.9607437 ],[6.92762029e-02 5.93568050e-07 6.65941146e-07],[1.95942691e-01 1.67886397e-06 1.88356600e-06]
[0.0169685  0.00639285 0.9766386 ],[6.11369923e-02 2.65805537e-07 1.82988367e-07],[1.72921527e-01 7.51811591e-07 5.17569260e-07]
[0.05143531 0.05461543 0.8939493 ],[6.64279846e-02 5.30312266e-07 4.23441533e-07],[1.87886714e-01 1.49994960e-06 1.19767352e-06]
[0.11269622 0.09444663 0.7928571 ],[4.44516677e-02 7.03870325e-05 1.02214913e-03],[0.1257283  0.00019908 0.00289107]
[0.00972439 0.00775958 0.98251605],[5.90892365e-02 1.24262334e-07 1.06550432e-07],[1.67129599e-01 3.51466955e-07 3.01370131e-07]
[0.3941649  0.01022061 0.59561443],[2.93019919e-02 8.08537004e-04 1.75942801e-05],[8.28785487e-02 2.28688799e-03 4.97641390e-05]
[0.05462917 0.04668687 0.898684  ],[6.95677895e-02 5.94492422e-06 2.39766749e-06],[1.96767423e-01 1.68147849e-05 6.78162776e-06]
[0.20808867 0.0984197  0.69349164],[0.07852792 0.00012671 0.00034277],[0.22211051 0.00035839 0.0009695 ]
[0.17483507 0.02521039 0.79995453],[0.02996414 0.00318252 0.00011618],[0.08475138 0.00900152 0.00032861]
[0.04492194 0.02450821 0.9305698 ],[7.09644111e-02 7.77400612e-07 8.67323524e-07],[2.00717665e-01 2.19882098e-06 2.45316138e-06]
[0.01354918 0.40610757 0.5803433 ],[0.00541209 0.00048214 0.04171262],[0.0153077  0.00136369 0.1179811 ]
[0.02560227 0.0204715  0.95392627],[6.51915278e-02 2.80604158e-07 3.09058921e-07],[1.84389486e-01 7.93668412e-07 8.74150634e-07]
[0.01049342 0.02722002 0.96228653],[6.23832113e-02 3.17008681e-07 5.91362973e-07],[1.76446367e-01 8.96635953e-07 1.67262707e-06]
[0.03868643 0.16317272 0.79814094],[6.78764653e-02 2.08052292e-06 5.79884867e-06],[1.91983636e-01 5.88460746e-06 1.64016209e-05]
[0.01275569 0.01983882 0.9674055 ],[6.21198537e-02 2.26075343e-07 3.30707827e-07],[1.75701479e-01 6.39437633e-07 9.35382988e-07]
[0.07629193 0.06282764 0.8608805 ],[8.05816778e-02 4.56230470e-06 4.23587638e-06],[2.27919403e-01 1.29041464e-05 1.19808676e-05]
[0.66889495 0.00955502 0.32155   ],[0.00804238 0.04340579 0.00090247],[0.02274729 0.12277011 0.00255257]
[0.09100875 0.05993285 0.8490584 ],[7.68580565e-02 3.25035190e-06 4.55083615e-06],[2.17387412e-01 9.19338348e-06 1.28717084e-05]
[0.24909349 0.00404278 0.7468637 ],[1.48409109e-02 6.20480603e-03 7.31311086e-05],[0.04197644 0.01754984 0.00020685]
[0.6690964  0.00556854 0.32533506],[0.0002582  0.02477833 0.00742512],[0.00073029 0.07008371 0.02100141]
[0.19561823 0.05101861 0.7533632 ],[0.01020006 0.02239051 0.00034223],[0.02885013 0.06332992 0.00096797]
[0.64936244 0.01532875 0.3353088 ],[0.00433439 0.08023239 0.00175519],[0.0122595  0.22693148 0.00496442]
[0.49840704 0.0647531  0.43683988],[0.00451228 0.05571987 0.00073716],[0.01276266 0.1575996  0.002085  ]
[0.5572974  0.03003867 0.412664  ],[0.0007604  0.05317259 0.00516606],[0.00215072 0.1503948  0.01461182]
[0.0063723  0.00816512 0.98546267],[6.05302721e-02 1.30000003e-07 1.23433942e-07],[1.71205464e-01 3.67695534e-07 3.49123908e-07]
[0.01458761 0.05463234 0.93078005],[6.71868914e-02 5.48364330e-07 7.82979447e-07],[1.90033226e-01 1.55100855e-06 2.21460031e-06]
[0.3974585  0.01085914 0.5916824 ],[2.48147448e-02 2.77685253e-03 6.28055505e-05],[0.0701867  0.00785413 0.00017764]
[0.02786771 0.05215018 0.91998214],[7.01938982e-02 5.06900098e-06 2.25622186e-06],[1.98538326e-01 1.43372999e-05 6.38155910e-06]
[0.03777942 0.57492954 0.38729104],[2.47405980e-05 3.23970493e-02 8.54962373e-04],[6.99769785e-05 9.16326929e-02 2.41819877e-03]
[0.07390802 0.03158151 0.89451045],[6.68698420e-02 7.33226564e-06 2.30685466e-06],[1.89136475e-01 2.07387790e-05 6.52477028e-06]
[0.04483024 0.03843443 0.91673535],[7.34966387e-02 1.26219483e-06 1.42586353e-06],[2.07879886e-01 3.57002610e-06 4.03295110e-06]
[0.29819652 0.00845582 0.6933477 ],[3.83519679e-02 5.24391303e-04 2.10466353e-05],[1.08475746e-01 1.48320259e-03 5.95288741e-05]
[0.00492142 0.36781254 0.62726605],[1.52829736e-02 5.43867931e-05 4.99647505e-03],[0.04322678 0.00015383 0.01413217]
[0.16412285 0.0306002  0.8052769 ],[3.15178629e-02 2.38797429e-03 8.92776106e-05],[0.08914598 0.00675421 0.00025252]
[0.03902149 0.25899982 0.7019787 ],[0.01313583 0.00038715 0.01913939],[0.03715373 0.00109503 0.05413438]
[0.06096746 0.17076838 0.76826423],[4.13703176e-02 1.38213394e-05 3.00526244e-04],[1.17012928e-01 3.90926514e-05 8.50016579e-04]
[0.8587491  0.01018526 0.1310656 ],[3.22219372e-07 1.18010108e-06 5.73344986e-02],[9.11374013e-07 3.33782990e-06 1.62166451e-01]
[0.00799663 0.00783526 0.9841681 ],[6.25138173e-02 1.87927980e-07 2.24481241e-07],[1.76815777e-01 5.31540595e-07 6.34928832e-07]
[0.19583066 0.01989107 0.7842783 ],[0.01084159 0.01338086 0.00014553],[0.03066465 0.0378468  0.00041161]
[0.01570512 0.00948748 0.9748073 ],[6.10466867e-02 1.39267844e-07 1.32713160e-07],[1.72666105e-01 3.93908948e-07 3.75369501e-07]
[0.05044646 0.01534736 0.9342062 ],[6.27306870e-02 4.64249933e-07 1.03333689e-06],[1.77429177e-01 1.31309710e-06 2.92271808e-06]
[0.18585685 0.05950411 0.754639  ],[0.08705607 0.00036637 0.00019649],[0.24623176 0.00103626 0.00055576]
[5.4917653e-04 1.1122411e-03 9.9833858e-01],[5.77643302e-02 7.69046504e-08 8.44754318e-08],[1.63382198e-01 2.17519199e-07 2.38932603e-07]
[0.15716039 0.03751742 0.8053222 ],[5.07903006e-02 1.33895462e-04 1.05388417e-05],[1.43656664e-01 3.78713556e-04 2.98083456e-05]
[0.00755706 0.00689099 0.98555195],[5.90055856e-02 1.13101245e-07 1.01065040e-07],[1.66892999e-01 3.19898628e-07 2.85855100e-07]
[0.02910459 0.01330016 0.95759535],[6.46502354e-02 1.04610519e-05 2.60302222e-06],[1.82858480e-01 2.95883230e-05 7.36245865e-06]
[0.58855635 0.0133571  0.3980866 ],[0.00353246 0.07093281 0.00100524],[0.00999131 0.20062828 0.00284324]
[0.01431437 0.0113813  0.97430444],[6.14373469e-02 1.54566809e-07 1.43158162e-07],[1.73771059e-01 4.37180956e-07 4.04912430e-07]
[0.02504362 0.01965691 0.9552995 ],[6.73117612e-02 6.78528322e-07 5.12380256e-07],[1.90386411e-01 1.91916791e-06 1.44923021e-06]
[0.00597203 0.02708326 0.9669447 ],[6.33933928e-02 3.16336911e-07 4.97798395e-07],[1.79303592e-01 8.94735900e-07 1.40798648e-06]
[0.51089936 0.01501853 0.4740821 ],[0.00079788 0.06328608 0.0037262 ],[0.00225675 0.17900007 0.01053929]
[0.00651123 0.01477176 0.978717  ],[6.25113850e-02 1.87441379e-07 2.23555979e-07],[1.76808897e-01 5.30164280e-07 6.32311794e-07]
[0.06408161 0.23692702 0.6989914 ],[0.01141233 0.00017386 0.01392773],[0.03227895 0.00049176 0.03939357]
[0.00607511 0.16813184 0.82579297],[4.63724928e-02 3.38691769e-06 5.82825552e-05],[1.31161216e-01 9.57964985e-06 1.64847960e-04]
[0.01841494 0.01915457 0.9624304 ],[6.28573017e-02 2.93495879e-07 2.24080017e-07],[1.77787297e-01 8.30131705e-07 6.33793998e-07]
[0.22730973 0.0180051  0.75468516],[6.75677701e-02 4.69371637e-06 1.75357060e-06],[1.91110514e-01 1.32758347e-05 4.95984664e-06]
[0.01129916 0.06162636 0.92707455],[6.19806808e-02 1.55268317e-07 1.66201398e-07],[1.75307839e-01 4.39165119e-07 4.70088542e-07]
[0.04441483 0.02344488 0.93214035],[6.83843216e-02 1.36707263e-06 8.44884770e-07],[1.93420070e-01 3.86666531e-06 2.38969500e-06]
[0.02557137 0.60660034 0.36782825],[0.01589096 0.00034644 0.0149263 ],[0.04494644 0.00097987 0.04221795]
[0.04324201 0.0270505  0.92970747],[7.40494750e-02 3.08654828e-06 5.38535822e-06],[2.09443544e-01 8.73007688e-06 1.52320933e-05]
[0.11174081 0.09341622 0.7948429 ],[6.12383413e-02 1.97350772e-04 3.01727792e-05],[1.73208186e-01 5.58192278e-04 8.53415072e-05]
[0.05140537 0.07639199 0.8722027 ],[6.96075539e-02 9.12243254e-06 3.28222203e-05],[1.96879894e-01 2.58021357e-05 9.28352582e-05]
[0.00434043 0.69759023 0.2980693 ],[0.00040057 0.00464697 0.04186315],[0.00113298 0.01314361 0.11840687]
[0.01823025 0.04661494 0.9351548 ],[6.64040536e-02 1.09166881e-06 2.63264241e-06],[1.87819027e-01 3.08770569e-06 7.44623720e-06]
[0.5944396  0.02433842 0.3812219 ],[0.00306082 0.10084653 0.0023293 ],[0.00865732 0.28523706 0.00658827]
[0.01044513 0.923589   0.06596588],[1.84911824e-07 5.98563618e-02 3.15864087e-07],[5.23009619e-07 1.69299357e-01 8.93398551e-07]
[0.02254495 0.7645252  0.21292987],[5.39972672e-05 3.95002731e-02 1.06941704e-03],[0.00015273 0.11172364 0.00302477]
[0.08781403 0.70675147 0.2054345 ],[0.00070329 0.0414911  0.00708918],[0.0019892  0.11735455 0.02005122]
[0.0275254  0.03859204 0.9338826 ],[7.24403920e-02 1.73431783e-06 2.72477609e-06],[2.04892370e-01 4.90539159e-06 7.70683060e-06]
[0.06843333 0.11537992 0.8161868 ],[0.09176949 0.00022642 0.00015662],[0.25956333 0.00064042 0.00044299]
[0.01778599 0.03427046 0.9479435 ],[6.37026586e-02 9.78568548e-07 2.90217574e-06],[1.80178328e-01 2.76780982e-06 8.20859257e-06]
[0.07049568 0.04796555 0.88153875],[7.03825535e-02 6.63055285e-07 6.94026647e-07],[1.99071924e-01 1.87540355e-06 1.96300379e-06]
[0.04683105 0.01692308 0.9362459 ],[6.80059652e-02 8.30551758e-07 6.03785453e-07],[1.92349917e-01 2.34915512e-06 1.70776315e-06]
[0.06876712 0.08514559 0.8460872 ],[7.58972235e-02 2.26492777e-05 9.87311839e-06],[2.14669766e-01 6.40618314e-05 2.79253959e-05]
[0.00583059 0.00402136 0.9901481 ],[5.86891970e-02 1.05557256e-07 9.45000318e-08],[1.65998117e-01 2.98561005e-07 2.67286453e-07]
[0.08084486 0.2609095  0.6582456 ],[8.48139030e-02 4.62434190e-05 2.92524779e-05],[2.39889944e-01 1.30796141e-04 8.27385018e-05]
[0.01152535 0.01681445 0.97166026],[5.84553063e-02 1.41738906e-07 1.06433032e-07],[1.65336574e-01 4.00898166e-07 3.01038074e-07]
[0.01073958 0.03321309 0.95604736],[6.14004540e-02 1.92160207e-07 2.79792995e-07],[1.73666710e-01 5.43511142e-07 7.91374096e-07]
[0.05729367 0.03589929 0.906807  ],[6.4388856e-02 2.4374717e-06 8.9923444e-07],[1.82119187e-01 6.89421108e-06 2.54341908e-06]
[0.2905055  0.05311153 0.656383  ],[0.01611693 0.01244214 0.00026093],[0.04558557 0.03519169 0.00073803]
[0.05130798 0.02603588 0.9226562 ],[7.32780220e-02 1.11532717e-06 1.08057627e-06],[2.07261545e-01 3.15462163e-06 3.05633123e-06]
[0.07921553 0.03713186 0.8836525 ],[5.54400487e-02 1.09536910e-05 1.00233404e-04],[1.56808138e-01 3.09817167e-05 2.83502879e-04]
[0.22260484 0.08189577 0.69549936],[0.09286079 0.00052722 0.00035626],[0.26264997 0.00149122 0.00100764]
[0.01914551 0.419727   0.5611275 ],[0.0001045  0.01423639 0.00812199],[0.00029557 0.04026659 0.02297244]
[0.0038031  0.01492479 0.98127204],[5.97301263e-02 1.13579620e-07 1.26280953e-07],[1.68942309e-01 3.21251678e-07 3.57176474e-07]
[0.7684898  0.02032216 0.21118805],[2.69407463e-05 9.36205589e-04 3.19987241e-02],[7.61999376e-05 2.64798928e-03 9.05060591e-02]
[0.03077528 0.06366173 0.90556306],[5.49826878e-02 1.29397618e-06 1.03492959e-05],[1.55514526e-01 3.65991734e-06 2.92722294e-05]
[0.04641607 0.04342398 0.9101599 ],[6.64357957e-02 8.83135649e-07 5.55444798e-07],[1.87908807e-01 2.49788483e-06 1.57103513e-06]
[0.0198752  0.11907035 0.8610545 ],[6.60111838e-02 8.69269907e-06 3.98508352e-05],[1.86707823e-01 2.45866658e-05 1.12715183e-04]
[0.05449803 0.4259047  0.5195973 ],[0.00066508 0.00695979 0.04157012],[0.00188114 0.01968527 0.11757806]
[0.02478064 0.02475926 0.95046014],[6.92354147e-02 1.95187608e-06 4.50858211e-06],[1.95827325e-01 5.52073925e-06 1.27521959e-05]
[0.04381259 0.01615937 0.940028  ],[6.35802220e-02 4.72756937e-07 3.13762869e-07],[1.79832025e-01 1.33715855e-06 8.87455410e-07]
[0.12998293 0.01158991 0.85842717],[7.67173365e-02 2.68302713e-06 3.42455784e-06],[2.16989396e-01 7.58874670e-06 9.68611228e-06]
[0.07796848 0.28844824 0.6335833 ],[0.08374468 0.00092361 0.00198169],[0.23686572 0.00261236 0.00560508]
[0.18967985 0.044399   0.7659211 ],[0.05905645 0.0010629  0.00016319],[0.16703686 0.00300634 0.00046156]
