[0.01888613 0.5075671  0.47354674],[0.00124466 0.00248976 0.0879495 ],[0.00352044 0.0070421  0.24875875]
[0.01685917 0.04709737 0.93604344],[5.92861270e-02 4.80294367e-07 1.74206194e-06],[1.67686490e-01 1.35847761e-06 4.92729524e-06]
[0.01246892 0.02161439 0.9659166 ],[6.20521013e-02 4.68433745e-07 2.72374350e-07],[1.75509846e-01 1.32493071e-06 7.70390999e-07]
[0.10809162 0.01734428 0.8745641 ],[3.99347070e-02 2.61312737e-04 1.05785218e-05],[1.12952409e-01 7.39104035e-04 2.99205779e-05]
[0.02003315 0.26449436 0.71547246],[3.12924012e-02 1.56505124e-05 6.51655199e-04],[8.85082764e-02 4.42663337e-05 1.84315924e-03]
[0.28872272 0.0193293  0.691948  ],[0.0364067  0.0026962  0.00014443],[0.1029737  0.00762599 0.0004085 ]
[0.06013819 0.02413598 0.91572595],[5.47847285e-02 1.83810589e-05 2.10776411e-06],[1.54954612e-01 5.19894855e-05 5.96165717e-06]
[0.0205078  0.01288474 0.96660745],[6.43634832e-02 2.27186863e-07 2.23097934e-07],[1.82047422e-01 6.42581486e-07 6.31016247e-07]
[0.01384122 0.2895571  0.6966016 ],[2.19540180e-02 6.73020291e-05 3.53577166e-03],[0.06209534 0.00019036 0.01000067]
[0.0072071  0.25247464 0.7403183 ],[5.05277962e-02 9.71086169e-06 1.25237458e-04],[1.42914189e-01 2.74664646e-05 3.54225024e-04]
[0.0197624  0.04046393 0.9397737 ],[6.42359575e-02 2.45362239e-07 2.29282752e-07],[1.81686725e-01 6.93989213e-07 6.48509554e-07]
[0.00316457 0.00212408 0.9947113 ],[5.85465977e-02 8.67262183e-08 8.32528333e-08],[1.65594785e-01 2.45298788e-07 2.35474572e-07]
[0.04210803 0.03601472 0.9218773 ],[7.79467294e-02 2.40266690e-06 2.41734036e-06],[2.20466644e-01 6.79576822e-06 6.83727103e-06]
[0.6093132  0.00776005 0.3829268 ],[0.00128903 0.0730155  0.00408391],[0.00364594 0.20651903 0.01155105]
[0.10149059 0.01930672 0.8792028 ],[4.84173304e-02 4.77086606e-05 3.10548574e-06],[1.3694489e-01 1.3494047e-04 8.7836401e-06]
[0.01174687 0.02133913 0.96691394],[6.35139998e-02 2.09129950e-07 1.98761152e-07],[1.79644720e-01 5.91508823e-07 5.62181433e-07]
[0.06480501 0.14224733 0.7929477 ],[0.0208868  0.0001263  0.00572642],[0.0590768  0.00035723 0.01619677]
[0.06765986 0.01788343 0.91445667],[5.85327646e-02 6.97812755e-06 1.25313760e-06],[1.65555659e-01 1.97371252e-05 3.54440839e-06]
[0.01029558 0.9306385  0.05906593],[1.90453785e-07 6.10239837e-02 2.88568948e-07],[5.38684650e-07 1.72601891e-01 8.16196241e-07]
[0.00300003 0.0202968  0.9767032 ],[5.87382460e-02 8.99723676e-08 8.63349926e-08],[1.66136848e-01 2.54480285e-07 2.44192235e-07]
[0.01815704 0.41743025 0.56441265],[0.05929359 0.00012892 0.00083979],[0.16770761 0.00036463 0.00237527]
[0.03008286 0.00981126 0.96010584],[5.92214303e-02 1.33553006e-07 1.11033571e-07],[1.67503500e-01 3.77744944e-07 3.14050363e-07]
[0.02590492 0.02264665 0.95144844],[6.25819425e-02 2.85278992e-07 4.66950141e-07],[1.77008464e-01 8.06890838e-07 1.32073445e-06]
[0.09393417 0.06316191 0.84290385],[6.62530219e-02 1.23256817e-05 3.32671483e-06],[1.87391844e-01 3.48622925e-05 9.40937046e-06]
[0.01388253 0.0167085  0.969409  ],[6.16256020e-02 1.41735830e-07 1.44779699e-07],[1.74303524e-01 4.00889466e-07 4.09498826e-07]
[0.03084827 0.22817692 0.7409748 ],[6.09890078e-02 3.36388579e-05 2.25200559e-04],[1.72502964e-01 9.51450582e-05 6.36963369e-04]
[0.00598013 0.00803042 0.98598945],[6.21706364e-02 1.74661473e-07 2.06567457e-07],[1.75845114e-01 4.94017247e-07 5.84261000e-07]
[0.02080597 0.02018294 0.9590111 ],[6.77434724e-02 6.62375828e-07 5.23935258e-07],[1.91607475e-01 1.87348176e-06 1.48191269e-06]
[0.05195352 0.10498305 0.8430635 ],[7.54835488e-02 2.04921550e-06 2.49514451e-06],[2.13499717e-01 5.79605670e-06 7.05733441e-06]
[0.05888463 0.15987799 0.7812374 ],[0.10179889 0.00078489 0.00072545],[0.28793073 0.00222    0.00205189]
[0.09307425 0.02737172 0.8795541 ],[6.29243667e-02 6.52440060e-07 3.50641820e-07],[1.77976986e-01 1.84537916e-06 9.91764836e-07]
[0.03647354 0.05234033 0.9111861 ],[6.58535498e-02 5.30847289e-06 1.69331743e-06],[1.86261966e-01 1.50146287e-05 4.78942496e-06]
[0.15867741 0.07545554 0.76586705],[2.68618305e-02 1.79830057e-03 4.20179304e-05],[0.07597673 0.00508636 0.00011884]
[0.0416045  0.05726849 0.90112704],[4.86861831e-02 7.61014690e-05 5.32477051e-06],[1.37705321e-01 2.15247459e-04 1.50607254e-05]
[0.01262749 0.01065343 0.976719  ],[6.19513959e-02 1.84338552e-07 1.62251912e-07],[1.75225009e-01 5.21388160e-07 4.58917708e-07]
[0.51663685 0.04605901 0.4373041 ],[0.00030426 0.01941534 0.01106539],[0.00086058 0.05491489 0.03129766]
[0.07979633 0.03658876 0.8836149 ],[7.43365130e-02 1.26671509e-06 1.25350071e-06],[2.10255410e-01 3.58281132e-06 3.54543540e-06]
[0.03452989 0.13442634 0.8310438 ],[5.68102705e-02 4.35420024e-06 3.52929190e-05],[1.60683710e-01 1.23155381e-05 9.98234494e-05]
[0.00681292 0.00937091 0.9838162 ],[6.04258082e-02 1.56385888e-07 2.21249777e-07],[1.70909995e-01 4.42326088e-07 6.25788871e-07]
[0.00893075 0.12906364 0.8620056 ],[7.06565757e-02 8.94218362e-07 1.16031500e-06],[1.99846975e-01 2.52923147e-06 3.28186642e-06]
[0.42915115 0.01427474 0.5565741 ],[0.00673687 0.04324909 0.00069764],[0.01905473 0.1223269  0.00197321]
[0.00944307 0.00477198 0.98578495],[6.05715224e-02 1.33950505e-07 1.25331551e-07],[1.71322137e-01 3.78869242e-07 3.54491159e-07]
[0.02618487 0.05378195 0.9200332 ],[6.74936769e-02 6.17536170e-07 9.25878634e-07],[1.90900946e-01 1.74665605e-06 2.61878024e-06]
[0.2886845  0.10122009 0.6100954 ],[0.09292221 0.00429718 0.00274751],[0.26282369 0.01215426 0.00777112]
[0.12957065 0.03246398 0.83796537],[7.06813553e-02 1.73013474e-04 4.38791069e-05],[1.99917063e-01 4.89356002e-04 1.24108856e-04]
[0.02112259 0.37575078 0.60312665],[0.00321713 0.00079286 0.06767068],[0.00909941 0.00224255 0.1914016 ]
[0.02554403 0.01529264 0.9591633 ],[6.08441479e-02 1.40919060e-07 1.66641934e-07],[1.72093238e-01 3.98579291e-07 4.71334565e-07]
[0.8239064  0.00949538 0.16659822],[7.18171276e-07 2.48286625e-06 6.11090509e-02],[2.03129512e-06 7.02260624e-06 1.72842497e-01]
[0.03557135 0.24938951 0.7150391 ],[4.03198399e-02 9.65399371e-05 1.62550653e-03],[0.11404173 0.00027306 0.00459763]
[0.01427875 0.0037942  0.9819271 ],[5.94460547e-02 1.32564126e-07 1.12918561e-07],[1.68138834e-01 3.74947970e-07 3.19381920e-07]
[0.01859487 0.0473357  0.93406945],[6.39569665e-02 3.84585438e-07 6.58034135e-07],[1.80897619e-01 1.08777188e-06 1.86120160e-06]
[0.01404167 0.03986143 0.9460969 ],[6.30451645e-02 5.09561149e-07 1.14927245e-06],[1.78318653e-01 1.44125658e-06 3.25063337e-06]
[0.78030854 0.01499713 0.20469435],[4.11050161e-06 5.18245020e-05 5.07682822e-02],[1.16262542e-05 1.46581827e-04 1.43594386e-01]
[0.02813078 0.10411575 0.8677535 ],[6.26306034e-02 2.16616792e-06 9.80470945e-06],[1.77146097e-01 6.12684811e-06 2.77319062e-05]
[0.21834998 0.0195122  0.7621378 ],[3.29231980e-02 7.43290980e-04 2.13562533e-05],[9.31208661e-02 2.10234437e-03 6.04046061e-05]
[0.22830473 0.02257053 0.7491247 ],[0.00369842 0.05979277 0.00069011],[0.01046072 0.16911949 0.00195193]
[0.01705737 0.7018973  0.2810453 ],[0.00034663 0.00675169 0.03095144],[0.00098042 0.01909665 0.0875439 ]
[0.38180906 0.02652968 0.5916613 ],[0.003276   0.07768632 0.0011763 ],[0.00926592 0.21973009 0.00332707]
[0.8381956  0.01416256 0.14764181],[7.69293739e-06 1.85917821e-04 4.11967066e-02],[2.17589128e-05 5.25855008e-04 1.16521882e-01]
[0.04409262 0.30040103 0.65550643],[0.00236259 0.00168525 0.09923818],[0.00668242 0.00476659 0.28068795]
[0.7473049  0.03728157 0.21541356],[0.00464145 0.10885879 0.00449452],[0.01312799 0.30789915 0.01271243]
[0.04163313 0.05344316 0.9049237 ],[7.41312190e-02 1.32983509e-06 1.43501297e-06],[2.09674751e-01 3.76134163e-06 4.05882961e-06]
[0.00327044 0.0115851  0.9851445 ],[5.94613465e-02 1.59256092e-07 1.22516507e-07],[1.68182085e-01 4.50444250e-07 3.46529010e-07]
[0.3271541  0.02345947 0.64938647],[0.00711643 0.04720565 0.00090808],[0.02012831 0.13351773 0.00256843]
[0.0253234 0.0923223 0.8823543],[7.56767176e-02 2.16330564e-06 1.93313425e-06],[2.14046081e-01 6.11875235e-06 5.46772936e-06]
[0.31249076 0.00463127 0.682878  ],[0.00663866 0.0301758  0.00032182],[0.01877696 0.08535005 0.00091026]
[0.00239821 0.0111614  0.98644036],[5.89214511e-02 1.39088275e-07 2.22202959e-07],[1.66655030e-01 3.93401049e-07 6.28484876e-07]
[0.03293076 0.30382758 0.6632416 ],[4.82725609e-02 2.47474776e-05 3.37302628e-04],[1.36535421e-01 6.99964369e-05 9.54035901e-04]
[0.51015264 0.01826526 0.47158208],[0.00189077 0.10580252 0.00165954],[0.0053479  0.29925473 0.00469389]
[0.0248879  0.01259363 0.96251845],[6.49634664e-02 5.25461250e-07 9.65735451e-07],[1.83744431e-01 1.48622885e-06 2.73151234e-06]
[0.01731806 0.02733977 0.95534223],[6.56578894e-02 3.92958074e-07 5.20050046e-07],[1.85708555e-01 1.11145328e-06 1.47092366e-06]
[0.01165467 0.05474154 0.9336038 ],[4.31976428e-02 5.07981647e-06 1.09602541e-04],[1.22181385e-01 1.43678907e-05 3.10002800e-04]
[0.71362233 0.02048387 0.26589376],[4.19166290e-06 6.71639512e-05 4.72970527e-02],[1.18558131e-05 1.89968341e-04 1.33776267e-01]
[0.06988525 0.13904364 0.7910711 ],[0.05353751 0.00010364 0.00091232],[0.15142696 0.00029313 0.00258042]
[0.03352012 0.02451345 0.94196635],[7.24567434e-02 2.32790663e-06 1.57733372e-06],[2.04938618e-01 6.58431427e-06 4.46137348e-06]
[0.01326831 0.8476756  0.13905604],[8.74997879e-05 3.44530393e-02 2.05275007e-03],[0.00024749 0.09744791 0.00580605]
[0.05375817 0.00765335 0.93858844],[6.09235967e-02 7.95446602e-07 3.35057981e-07],[1.72317953e-01 2.24986274e-06 9.47687083e-07]
[0.02637712 0.14886837 0.8247545 ],[7.03118693e-02 1.28384683e-05 4.65415191e-05],[1.98871998e-01 3.63126719e-05 1.31639295e-04]
[0.00992613 0.00433005 0.9857438 ],[5.79285010e-02 9.63373039e-08 8.41787370e-08],[1.63846544e-01 2.72483043e-07 2.38093423e-07]
[0.00724536 0.92428404 0.06847053],[2.06482150e-07 5.83743090e-02 4.93136514e-07],[5.84019713e-07 1.65107479e-01 1.39480069e-06]
[0.0101056 0.6905298 0.2993646],[2.43097004e-02 8.33339522e-05 3.48173380e-03],[0.06875822 0.0002357  0.00984783]
[0.4951026  0.07026779 0.4346295 ],[0.04762225 0.02176775 0.00420243],[0.13469607 0.0615685  0.01188627]
[0.03782805 0.03824399 0.92392796],[6.64750036e-02 3.26108184e-07 3.34551104e-07],[1.88019703e-01 9.22373234e-07 9.46253417e-07]
[0.07943173 0.03899157 0.8815767 ],[4.17956651e-02 2.71843551e-04 1.26574267e-05],[1.18215993e-01 7.68889672e-04 3.58006089e-05]
[0.03713193 0.01495317 0.9479149 ],[6.30317044e-02 2.77916195e-07 2.20532366e-07],[1.78280582e-01 7.86065704e-07 6.23759725e-07]
[0.00752312 0.00642299 0.9860539 ],[6.07274796e-02 1.27028393e-07 1.23501516e-07],[1.71763250e-01 3.59290551e-07 3.49315037e-07]
[0.02038235 0.0232086  0.9564091 ],[6.65301158e-02 3.20336843e-07 3.19072393e-07],[1.88175584e-01 9.06049417e-07 9.02473012e-07]
[0.0472579  0.44536212 0.50737995],[0.0120749  0.00028314 0.01750823],[0.03415297 0.00080085 0.04952076]
[0.0082387 0.9730728 0.0186884],[2.31173717e-07 6.08797176e-02 4.12773865e-07],[6.53858011e-07 1.72193845e-01 1.16750080e-06]
[0.02357833 0.09711944 0.8793022 ],[6.42368853e-02 4.27809535e-07 7.61113871e-07],[1.81689349e-01 1.21002809e-06 2.15275512e-06]
[0.5577686  0.01344899 0.42878243],[0.00128269 0.09181897 0.00227387],[0.00362801 0.25970327 0.00643148]
[0.13850202 0.06708659 0.79441136],[5.16358191e-02 4.52948181e-04 4.18607687e-05],[1.46048151e-01 1.28113092e-03 1.18400134e-04]
[0.695202   0.0228867  0.28191134],[0.0001102  0.00601346 0.01874378],[0.00031169 0.01700863 0.05301541]
[0.03135116 0.01968209 0.94896674],[6.61810687e-02 5.83024164e-07 9.84443235e-07],[1.87188330e-01 1.64904136e-06 2.78442595e-06]
[0.04819091 0.06777831 0.8840308 ],[5.22884473e-02 4.14603183e-05 3.71164259e-06],[1.47894063e-01 1.17267489e-04 1.04981106e-05]
[0.01551307 0.34843552 0.6360514 ],[3.44808160e-02 9.37219060e-05 2.13319719e-03],[0.09752648 0.00026509 0.00603359]
[0.02557931 0.27237523 0.7020455 ],[0.04578317 0.00010288 0.00132571],[0.12949437 0.000291   0.00374969]
[0.00527954 0.0067641  0.98795635],[5.85243866e-02 9.48364600e-08 8.74866228e-08],[1.65531962e-01 2.68238016e-07 2.47449537e-07]
[0.37493017 0.01343423 0.61163557],[2.27126914e-02 2.69838507e-03 4.95077588e-05],[0.06424119 0.00763219 0.00014003]
[0.04643068 0.0264392  0.92713004],[6.45677169e-02 1.11037424e-06 5.61929919e-07],[1.82625082e-01 3.14061263e-06 1.58937782e-06]
[0.02317461 0.03028808 0.94653726],[6.76172013e-02 7.39858902e-07 5.49409272e-07],[1.91250326e-01 2.09263699e-06 1.55396409e-06]
[0.03688924 0.01885458 0.9442561 ],[6.54063613e-02 2.67252512e-07 2.71911215e-07],[1.84997127e-01 7.55904253e-07 7.69081057e-07]
[0.16922763 0.15294255 0.6778298 ],[0.00041005 0.02484407 0.01013745],[0.00115978 0.07026964 0.02867304]
[0.08086953 0.18253651 0.736594  ],[0.08049474 0.00040548 0.00016051],[0.22767351 0.00114686 0.00045399]
[0.02415941 0.0219776  0.953863  ],[6.48793766e-02 3.31040023e-07 2.84300219e-07],[1.83506589e-01 9.36322582e-07 8.04122451e-07]
[0.01977303 0.0191458  0.9610812 ],[6.87971644e-02 5.17518412e-07 5.01069753e-07],[1.94587766e-01 1.46376311e-06 1.41723928e-06]
[0.6973737  0.01530287 0.28732342],[9.34315387e-05 1.98316216e-03 3.61960451e-02],[0.00026426 0.00560923 0.10237788]
[0.18152726 0.03349772 0.784975  ],[4.34160505e-02 2.76047463e-04 1.42320372e-05],[1.22799135e-01 7.80780133e-04 4.02542800e-05]
[0.02602093 0.2531085  0.7208705 ],[0.01132791 0.00112672 0.03873877],[0.03204018 0.00318685 0.10956978]
[0.0022489  0.00430513 0.99344593],[5.94936856e-02 9.92064132e-08 9.69877870e-08],[1.68273554e-01 2.80598110e-07 2.74322887e-07]
[0.03456585 0.24806756 0.7173666 ],[0.08716699 0.00035186 0.00066918],[0.24654547 0.00099521 0.00189272]
[0.03294543 0.4562409  0.51081365],[0.00020536 0.01206726 0.01439655],[0.00058084 0.03413138 0.04071959]
[0.04623247 0.04591179 0.90785575],[6.36250887e-02 7.01031876e-07 3.87697377e-07],[1.79958927e-01 1.98281757e-06 1.09657378e-06]
[0.01057537 0.5018171  0.48760748],[0.00526002 0.00051457 0.04362158],[0.01487759 0.00145543 0.12338046]
[0.00840133 0.00858135 0.9830173 ],[6.37278699e-02 2.27967194e-07 2.64423661e-07],[1.80249636e-01 6.44788595e-07 7.47903055e-07]
[0.16843593 0.03527578 0.7962884 ],[6.04906739e-02 1.23991680e-04 1.81832297e-05],[1.71093463e-01 3.50701432e-04 5.14299401e-05]
[0.03131169 0.03140173 0.93728656],[5.92230866e-02 1.92142708e-07 1.31709996e-07],[1.67508185e-01 5.43461646e-07 3.72532126e-07]
[0.04514336 0.04576189 0.90909475],[6.89589930e-02 1.58126064e-06 9.64657785e-07],[1.95045486e-01 4.47248050e-06 2.72846424e-06]
[0.01313522 0.00732555 0.97953916],[5.77972529e-02 9.35631172e-08 8.18457060e-08],[1.63475318e-01 2.64636459e-07 2.31494615e-07]
[0.12566414 0.03928684 0.835049  ],[6.64174603e-02 6.45722013e-06 2.70497353e-05],[1.87856946e-01 1.82637766e-05 7.65082051e-05]
[0.06229018 0.01074187 0.9269679 ],[6.71491571e-02 6.07778309e-07 9.39728214e-07],[1.89926497e-01 1.71905665e-06 2.65795277e-06]
[0.01466746 0.02467438 0.96065825],[6.33856370e-02 2.05120149e-07 2.28533342e-07],[1.79281655e-01 5.80167392e-07 6.46389904e-07]
[0.05776431 0.06534998 0.8768857 ],[7.07550149e-02 3.33411887e-06 8.35633804e-06],[2.00125403e-01 9.43031224e-06 2.36352932e-05]
[0.12038396 0.01340572 0.8662103 ],[7.17769283e-02 3.16289072e-06 1.82712202e-06],[2.03015811e-01 8.94600590e-06 5.16788149e-06]
[0.01383037 0.01171003 0.9744597 ],[6.26257065e-02 2.19366727e-07 1.87726996e-07],[1.77132247e-01 6.20462802e-07 5.30972126e-07]
[0.04726702 0.02737082 0.92536217],[6.71889657e-02 4.48058182e-07 5.20563963e-07],[1.90039093e-01 1.26729992e-06 1.47237723e-06]
[0.0353312  0.07545482 0.889214  ],[7.34474109e-02 3.56426913e-06 7.18141166e-06],[2.07740649e-01 1.00812755e-05 2.03120995e-05]
[0.34191605 0.08929047 0.56879354],[0.01555933 0.02069283 0.00058159],[0.04400843 0.05852816 0.00164499]
[0.07989823 0.02816106 0.8919407 ],[6.69375383e-02 4.15128882e-05 9.48162423e-06],[1.89327949e-01 1.17416179e-04 2.68180832e-05]
[0.47341397 0.01634012 0.5102459 ],[6.74578761e-02 2.19447925e-05 5.77214769e-06],[1.90799686e-01 6.20692463e-05 1.63260991e-05]
[0.31872138 0.01923705 0.66204154],[1.94448678e-02 3.89208000e-03 6.06732266e-05],[0.05499839 0.01100846 0.00017161]
[0.00819353 0.2481099  0.7436965 ],[2.03200897e-02 3.51319834e-05 2.47515631e-03],[5.74738929e-02 9.93682548e-05 7.00079926e-03]
[0.04445507 0.04166213 0.9138828 ],[7.27656684e-02 2.56582398e-06 1.70872029e-06],[2.05812390e-01 7.25724613e-06 4.83299083e-06]
[0.03830048 0.02097104 0.9407284 ],[6.98768769e-02 8.63215100e-07 1.21048560e-06],[1.97641654e-01 2.44154100e-06 3.42377031e-06]
[0.01321601 0.07614062 0.91064346],[5.48695308e-02 9.45652899e-07 7.01390887e-06],[1.55194469e-01 2.67471031e-06 1.98383301e-05]
[0.01243164 0.01811124 0.96945703],[6.30990502e-02 2.16468842e-07 2.65659742e-07],[1.78471065e-01 6.12266344e-07 7.51399220e-07]
[0.06867292 0.06790213 0.86342496],[8.19115168e-02 1.37343486e-05 9.72311582e-06],[2.31680756e-01 3.88466041e-05 2.75011245e-05]
[0.02882374 0.0368196  0.93435663],[8.20754706e-02 2.99170805e-05 1.75632742e-05],[2.32144487e-01 8.46182819e-05 4.96764413e-05]
[0.13503441 0.04080875 0.8241569 ],[3.32740009e-02 9.18236186e-04 2.85763355e-05],[9.41130867e-02 2.59716414e-03 8.08260824e-05]
[0.0115704  0.00762589 0.98080367],[6.07171794e-02 1.54010287e-07 1.34424930e-07],[1.71734117e-01 4.35606872e-07 3.80211118e-07]
[0.13574721 0.06631386 0.797939  ],[0.02424654 0.01775036 0.00094543],[0.06857958 0.05020561 0.00267408]
[0.06811234 0.0302421  0.90164566],[6.24622229e-02 7.39935240e-06 1.75575122e-06],[1.76669845e-01 2.09285290e-05 4.96601438e-06]
[0.01684323 0.01332161 0.9698351 ],[5.79575141e-02 6.69489775e-07 2.41021589e-07],[1.63928605e-01 1.89360304e-06 6.81712000e-07]
[0.00438147 0.93340397 0.06221458],[2.76563595e-06 5.47659457e-02 2.52765320e-05],[7.82239974e-06 1.54901486e-01 7.14928288e-05]
[0.03542404 0.02190283 0.942673  ],[7.03944844e-02 7.22575510e-07 6.73679037e-07],[1.99105669e-01 2.04375217e-06 1.90545206e-06]
[0.0887399 0.2614458 0.6498143],[0.00897458 0.00093296 0.0410914 ],[0.02538396 0.00263881 0.11622402]
[0.03880105 0.02345064 0.9377483 ],[6.85749242e-02 5.00295541e-07 5.28736157e-07],[1.93959176e-01 1.41504948e-06 1.49549169e-06]
[0.02973432 0.13122183 0.83904386],[6.55209907e-02 8.52417978e-07 1.99733454e-06],[1.85321347e-01 2.41100213e-06 5.64931518e-06]
[0.02231988 0.04760042 0.93007976],[7.30528137e-02 1.90602071e-06 2.96123938e-06],[2.06624560e-01 5.39104068e-06 8.37564978e-06]
[0.02690106 0.02196814 0.95113075],[6.45468993e-02 2.37206385e-07 2.31608493e-07],[1.82566201e-01 6.70920974e-07 6.55087745e-07]
[0.008634   0.04087188 0.95049405],[6.07492259e-02 2.58510225e-07 5.26665047e-07],[1.71824758e-01 7.31177331e-07 1.48963370e-06]
[0.01093252 0.2998347  0.68923277],[4.36958868e-02 4.75576379e-05 7.59876359e-04],[0.12359063 0.00013451 0.00214925]
[0.04590594 0.04998306 0.90411097],[6.73108423e-02 2.20733294e-06 6.63935224e-06],[1.90383812e-01 6.24328037e-06 1.87789240e-05]
[0.02288206 0.04675415 0.9303638 ],[6.85794947e-02 5.35856900e-07 6.01863343e-07],[1.93972103e-01 1.51563219e-06 1.70232661e-06]
[0.02026528 0.8825879  0.09714683],[5.55819184e-05 8.07175368e-02 1.25118717e-04],[1.57209406e-04 2.28303671e-01 3.53889172e-04]
[0.02092458 0.01602287 0.9630526 ],[6.79647685e-02 4.28973453e-07 4.42895801e-07],[1.92233395e-01 1.21332015e-06 1.25269850e-06]
[0.22220309 0.02336818 0.75442874],[5.82513267e-02 2.34711644e-05 3.28765553e-06],[1.64759632e-01 6.63864780e-05 9.29889408e-06]
[0.01114041 0.02640986 0.9624497 ],[6.22635461e-02 2.69739232e-07 4.41432360e-07],[1.76107903e-01 7.62937759e-07 1.24855926e-06]
[0.01017807 0.45297748 0.53684443],[0.00040444 0.00683251 0.03298481],[0.00114392 0.01932527 0.09329513]
[0.02433461 0.02802041 0.94764507],[6.95396195e-02 7.30217545e-07 9.57896980e-07],[1.96687746e-01 2.06536711e-06 2.70934180e-06]
[0.01459863 0.01517049 0.9702308 ],[5.99457322e-02 5.56976692e-07 2.00548663e-06],[1.69552135e-01 1.57536798e-06 5.67237278e-06]
[0.02370424 0.01003012 0.9662656 ],[6.33877527e-02 2.00479123e-07 1.92510098e-07],[1.79287639e-01 5.67040591e-07 5.44500784e-07]
[0.01036666 0.33207253 0.6575608 ],[0.00743585 0.00027071 0.02568905],[0.02103177 0.00076569 0.0726596 ]
[0.05871694 0.04678778 0.8944952 ],[7.32418676e-02 1.22382784e-05 5.23244648e-06],[2.07159285e-01 3.46150785e-05 1.47995936e-05]
[0.06946278 0.06031259 0.87022454],[7.02250150e-02 3.32787677e-06 1.68085664e-06],[1.98626337e-01 9.41265693e-06 4.75418051e-06]
[0.01443984 0.01859997 0.9669602 ],[6.18394518e-02 3.76679837e-07 2.39863055e-07],[1.74908383e-01 1.06541147e-06 6.78435172e-07]
[0.00670591 0.00308433 0.9902098 ],[5.80891158e-02 8.13059346e-08 8.88367679e-08],[1.64300831e-01 2.29967911e-07 2.51268324e-07]
